记录编号,建筑面积,朝向,楼层,装修,电梯,建筑结构,建筑类别,区域,学校,总价,单价,房龄,室,厅,卫
SH90411,105.89平米,南北,中层,暂无,无 ,平层,钢混,安宁,附件无学校,109.8万,10369.0,18.0,3,2,1
SH97468,80.1平米,南北,高层,中装修,有 ,平层,板楼,城关,附件有学校,88.0万,10986.0,16.0,2,1,1
SH90413,78平米,南,中层,中装修,有 ,平层,钢混,城关,附件无学校,112.0万,14359.0,11.0,2,2,1
SH90415,60平米,东,低层,精装修,无 ,平层,钢混,城关,附件无学校,70.0万,11667.0,20.0,2,1,1
SH90418,47.59平米,西,低层,毛坯,无 ,平层,板楼,七里河,附件无学校,39.5万,8300.0,2.0,2,2,2
SH90419,108平米,南北,中层,精装修,无 ,平层,钢混,城关,附件无学校,102.0万,9444.0,15.0,2,2,1
SH90423,94.66平米,南,中层,毛坯,有 ,平层,板楼,安宁,附件无学校,115.0万,12149.0,7.0,3,2,1
SH90425,51.39平米,东西,中层,精装修,无 ,平层,板楼,城关,附件无学校,97.0万,18875.0,2.0,2,1,1
SH90426,104平米,南北,低层,简装修,无 ,平层,钢混,城关,附件有学校,139.0万,13365.0,17.0,2,2,1
SH90427,94.51平米,东南,中层,中装修,无 ,平层,板楼,安宁,附件无学校,133.8万,14157.0,13.0,2,2,1
SH97465,108平米,南,中层,精装修,有 ,平层,塔板结合,安宁,附件无学校,84.2万,7796.0,1.0,3,2,2
SH90431,135平米,南北,中层,精装修,有 ,平层,板楼,安宁,附件无学校,220.0万,16296.0,10.0,3,2,2
SH90432,139.38平米,南北,高层,毛坯,无 ,平层,板楼,城关,附件无学校,150.0万,10762.0,2.0,3,2,1
SH90433,99平米,南北,高层,精装修,有 ,平层,板楼,城关,附件有学校,122.0万,12323.0,18.0,2,2,1
SH97535,93平米,南,中层,精装修,有 ,平层,板楼,安宁,附件有学校,137.4万,14774.0,16.0,2,2,1
SH90435,120平米,南北,中层,毛坯,无 ,平层,板楼,城关,附件无学校,116.0万,9667.0,4.0,3,2,1
SH90437,94平米,南北,高层,精装修,有 ,平层,板楼,城关,附件无学校,99.0万,10532.0,2.0,2,2,1
SH97717,180平米,南北,低层,简装修,有 ,平层,钢混,城关,附件无学校,168.0万,9333.0,5.0,4,2,2
SH90439,129.54平米,南北,高层,精装修,无 ,平层,平房,城关,附件有学校,145.0万,11193.0,14.0,3,2,2
SH97880,82.49平米,南,高层,暂无,有 ,平层,板楼,安宁,附件无学校,103.0万,12486.0,7.0,2,2,1
SH90441,82.55平米,南北,中层,简装修,无 ,平层,板楼,安宁,附件无学校,101.0万,12235.0,21.0,2,2,1
SH97337,162平米,南北,高层,毛坯,无 ,平层,板楼,安宁,附件无学校,140.0万,8642.0,6.0,4,2,1
SH90446,93平米,南,高层,精装修,有 ,平层,板楼,安宁,附件无学校,138.5万,14892.0,8.0,2,2,1
SH90448,139平米,南北,中层,毛坯,有 ,平层,板楼,安宁,附件无学校,138.0万,9928.0,5.0,3,2,2
SH90451,50.25平米,南,低层,中装修,有 ,平层,板楼,城关,附件无学校,64.0万,12736.0,22.0,1,1,1
SH90455,134平米,南北,中层,毛坯,无 ,平层,板楼,榆中,附件无学校,81.0万,6045.0,2.0,3,2,2
SH90458,94.14平米,南,中层,精装修,有 ,平层,板楼,城关,附件有学校,140.0万,14871.0,14.0,2,1,1
